pub_id,country,continent,animal,stage_life_m,lifespan_m,norm_age,bw_mean_kg,bw_sd_kg,sex,lactating,exp_id,model,study_id,treatment,potential_exposure_day,pfos_plasma_mean,pfos_plasma_sd,pfos_plasma_units,pfos_plasma_ns,pfos_liver_mean,pfos_liver_sd,pfos_liver_units,pfos_liver_ns,feed_intake_mean,feed_intake_units,water_intake_mean,water_intake_units,pfos_exposure_level_mean,pfos_exposure_level_sd,pfos_exposure_level_units
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,64.55,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,63.51,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,56.77,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,56.66,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,56.01,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,54.1,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,52.81,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,52.38,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,50.88,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,50.46,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,48.13,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,47.85,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,47.15,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,46.17,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,46.1,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,46.07,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,45.93,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,45.23,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
